id	wave	date	polarization	time	interviewdistance	edate	treated	fortuyn	pvda	vvd	lpf	cda	age	female	rural	sclass	polkno	religion	dlr	postlr	lprelr	lpf_id_broad	vvd_id_broad	cu_id_broad	cda_id_broad	d66_id_broad	pvda_id_broad	gl_id_broad	sp_id_broad	rightid	leftid	asylum	crime	euthanasia	inequality	sample
1.0	1.0	2002-04-17	1.0	-28.0	33.0	2002-05-15	0.0	0.0	1.0	0.0	0.0	0.0	55.916668	2.0	1.0	3.0	8.0	0.0				0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	6.0	3.0	3.0	1.0
1.0	2.0	2002-05-20	1.0	5.0	33.0	2002-05-15	1.0	1.0	1.0	0.0	0.0	0.0	56.0	2.0	1.0	3.0	8.0	0.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	6.0	3.0	3.0	1.0
1.0	3.0	2003-01-28		258.0	33.0	2002-05-15	1.0	1.0	1.0	0.0	0.0	0.0	56.666668	2.0	1.0	3.0	8.0	0.0				0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	6.0	3.0	3.0	
2.0	1.0	2002-04-16	3.0	-29.0	68.0	2002-05-15	0.0	0.0	1.0	0.0	0.0	0.0	51.0	1.0	1.0	3.0	11.0	0.0				0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5.0	6.0	2.0	3.0	1.0
2.0	2.0	2002-06-23	2.0	39.0	68.0	2002-05-15	1.0	1.0	1.0	0.0	0.0	0.0	51.166668	1.0	1.0	3.0	11.0	0.0	5.0	8.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5.0	6.0	2.0	3.0	1.0
2.0	3.0	2003-01-29		259.0	68.0	2002-05-15	1.0	1.0	1.0	0.0	0.0	0.0	51.75	1.0	1.0	3.0	11.0	0.0				0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5.0	6.0	2.0	3.0	
3.0	1.0	2002-04-29	4.0	-16.0	25.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	39.333332	2.0	1.0	5.0	6.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	4.0	2.0	2.0	1.0
3.0	2.0	2002-05-24	3.0	9.0	25.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	39.416668	2.0	1.0	5.0	6.0	0.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	4.0	2.0	2.0	1.0
3.0	3.0	2003-01-29		259.0	25.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	40.083332	2.0	1.0	5.0	6.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	4.0	2.0	2.0	
4.0	1.0	2002-05-02	2.0	-13.0	21.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	21.916666	2.0	1.0	3.0	12.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	3.0	3.0	1.0
4.0	2.0	2002-05-23	3.0	8.0	21.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	21.916666	2.0	1.0	3.0	12.0	0.0	-1.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	3.0	3.0	1.0
4.0	3.0	2003-01-30		260.0	21.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	22.583334	2.0	1.0	3.0	12.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	3.0	3.0	
5.0	1.0	2002-04-16	2.0	-29.0	37.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	78.166664	1.0	1.0	2.0	11.0	1.0				0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	6.0	4.0	4.0	1.0
5.0	2.0	2002-05-23	1.0	8.0	37.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	78.25	1.0	1.0	2.0	11.0	1.0	-1.0	7.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	6.0	4.0	4.0	1.0
